	X:TIME(s)	Y:Acc1_Relative-RevJoint1(rad/s^2)	Y:Acc1_Relative-RevJoint2(rad/s^2)	Y:Acc1_Relative-RevJoint3(rad/s^2)	Y:Acc1_Relative-RevJoint4(rad/s^2)	Y:Acc1_Relative-RevJoint5(rad/s^2)	Y:Acc1_Relative-RevJoint6(rad/s^2)	Y:Driving_Torque-RevJoint1(N*m)	Y:Driving_Torque-RevJoint2(N*m)	Y:Driving_Torque-RevJoint3(N*m)	Y:Driving_Torque-RevJoint4(N*m)	Y:Driving_Torque-RevJoint5(N*m)	Y:Driving_Torque-RevJoint6(N*m)
  0.00000000000e+000  1.00000000000e+000  1.00000000000e+000  1.00000000000e+000  1.00000000000e+000  1.00000000000e+000  1.00000000000e+000  1.22249690596e+000  7.03968837574e-001  5.76848321210e-001  2.40597713680e-001  1.64591016567e-001  1.67357304490e-002
  1.60000000000e-003  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22249431027e+000  7.03966448628e-001  5.76846765770e-001  2.40596314568e-001  1.64590621501e-001  1.67354194129e-002
  3.20000000000e-003  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22248658295e+000  7.03959340237e-001  5.76842134534e-001  2.40592152060e-001  1.64589444226e-001  1.67344945493e-002
  4.80000000000e-003  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22247370375e+000  7.03947492626e-001  5.76834415550e-001  2.40585214393e-001  1.64587481982e-001  1.67329530989e-002
  6.50000000000e-003  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22245437406e+000  7.03929711267e-001  5.76822830443e-001  2.40574802115e-001  1.64584536804e-001  1.67306396926e-002
  8.10000000000e-003  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22243086722e+000  7.03908087429e-001  5.76808741595e-001  2.40562139860e-001  1.64580954917e-001  1.67278264709e-002
  9.70000000000e-003  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.22240220626e+000  7.03881722471e-001  5.76791563335e-001  2.40546701456e-001  1.64576587290e-001  1.67243965893e-002
  1.13000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22236839004e+000  7.03850615415e-001  5.76771294810e-001  2.40528486396e-001  1.64571433523e-001  1.67203500105e-002
  1.29000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.22232941720e+000  7.03814765106e-001  5.76747935010e-001  2.40507494077e-001  1.64565493150e-001  1.67156866903e-002
  1.45000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22228528618e+000  7.03774170217e-001  5.76721482772e-001  2.40483723810e-001  1.64558765630e-001  1.67104065779e-002
  1.61000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22223599522e+000  7.03728829242e-001  5.76691936780e-001  2.40457174809e-001  1.64551250351e-001  1.67045096158e-002
  1.77000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22218154235e+000  7.03678740503e-001  5.76659295564e-001  2.40427846202e-001  1.64542946632e-001  1.66979957397e-002
  1.94000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22211802782e+000  7.03620316997e-001  5.76621221006e-001  2.40393637850e-001  1.64533259188e-001  1.66903987126e-002
  2.10000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22205292140e+000  7.03560429935e-001  5.76582190591e-001  2.40358573150e-001  1.64523326848e-001  1.66826122208e-002
  2.26000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22198264577e+000  7.03495788872e-001  5.76540059495e-001  2.40320725598e-001  1.64512603534e-001  1.66742085774e-002
  2.42000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.22190719810e+000  7.03426391415e-001  5.76494825625e-001  2.40280093947e-001  1.64501088273e-001  1.66651876916e-002
  2.58000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22182657540e+000  7.03352234997e-001  5.76446486735e-001  2.40236676864e-001  1.64488780022e-001  1.66555494660e-002
  2.74000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22174077444e+000  7.03273316876e-001  5.76395040426e-001  2.40190472919e-001  1.64475677667e-001  1.66452937966e-002
  2.90000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22164979180e+000  7.03189634133e-001  5.76340484144e-001  2.40141480598e-001  1.64461780021e-001  1.66344205731e-002
  3.06000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22155362386e+000  7.03101183676e-001  5.76282815184e-001  2.40089698290e-001  1.64447085829e-001  1.66229296788e-002
  3.23000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.22144575957e+000  7.03001977410e-001  5.76218128145e-001  2.40031620691e-001  1.64430598986e-001  1.66100436818e-002
  3.39000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.22133888461e+000  7.02903683031e-001  5.76154030090e-001  2.39974078571e-001  1.64414257645e-001  1.65972784454e-002
  3.55000000000e-002  1.00000000000e+000  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  1.22122681197e+000  7.02800610382e-001  5.76086810123e-001  2.39913740978e-001  1.64397115467e-001  1.65838951411e-002
  3.71000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22110953718e+000  7.02692755661e-001  5.76016464916e-001  2.39850605935e-001  1.64379170908e-001  1.65698936266e-002
  3.87000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22098705559e+000  7.02580114892e-001  5.75942990994e-001  2.39784671378e-001  1.64360422353e-001  1.65552737534e-002
  4.03000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22085936234e+000  7.02462683927e-001  5.75866384725e-001  2.39715935150e-001  1.64340868115e-001  1.65400353668e-002
  4.19000000000e-002  1.00000000000e+000  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.22072645234e+000  7.02340458442e-001  5.75786642328e-001  2.39644395006e-001  1.64320506436e-001  1.65241783062e-002
  4.35000000000e-002  1.00000000000e+000  9.99999999993e-001  9.99999999993e-001  9.99999999993e-001  9.99999999993e-001  9.99999999993e-001  1.22058832032e+000  7.02213433939e-001  5.75703759868e-001  2.39570048612e-001  1.64299335490e-001  1.65077024048e-002
  4.52000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.22043582715e+000  7.02073206878e-001  5.75612252107e-001  2.39487978037e-001  1.64275952517e-001  1.64895185005e-002
  4.68000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.22028690721e+000  7.01936269456e-001  5.75522880196e-001  2.39407835993e-001  1.64253106382e-001  1.64717656881e-002
  4.84000000000e-002  1.00000000000e+000  9.99999999993e-001  9.99999999993e-001  9.99999999993e-001  9.99999999993e-001  9.99999999993e-001  1.22013274784e+000  7.01794518164e-001  5.75430355233e-001  2.39324879991e-001  1.64229444942e-001  1.64533934875e-002
  5.00000000000e-002  1.00000000000e+000  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  1.21997334293e+000  7.01647947801e-001  5.75334672668e-001  2.39239107332e-001  1.64204966084e-001  1.64344017083e-002
  5.16000000000e-002  1.00000000000e+000  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  1.21980868620e+000  7.01496552993e-001  5.75235827801e-001  2.39150515231e-001  1.64179667623e-001  1.64147901542e-002
  5.32000000000e-002  1.00000000000e+000  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  1.21963877112e+000  7.01340328192e-001  5.75133815781e-001  2.39059100812e-001  1.64153547305e-001  1.63945586235e-002
  5.48000000000e-002  1.00000000000e+000  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  1.21946359101e+000  7.01179267681e-001  5.75028631607e-001  2.38964861112e-001  1.64126602805e-001  1.63737069089e-002
  5.65000000000e-002  1.00000000000e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.21927233857e+000  7.01003353788e-001  5.74913766203e-001  2.38861875659e-001  1.64097191196e-001  1.63509088795e-002
  5.81000000000e-002  1.00000000000e+000  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  9.99999999992e-001  1.21908562416e+000  7.00831782827e-001  5.74801648734e-001  2.38761555761e-001  1.64068416517e-001  1.63287406640e-002
  5.97000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.21889427600e+000  7.00655875566e-001  5.74686717144e-001  2.38658644271e-001  1.64038932763e-001  1.63059882891e-002
  6.13000000000e-002  1.00000000000e+000  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  9.99999999991e-001  1.21869763348e+000  7.00475107592e-001  5.74568591537e-001  2.38552894553e-001  1.64008614663e-001  1.62826148324e-002
  6.29000000000e-002  9.99999999999e-001  9.99999999989e-001  9.99999999989e-001  9.99999999989e-001  9.99999999989e-001  9.99999999989e-001  1.21849568887e+000  7.00289472314e-001  5.74447266150e-001  2.38444303197e-001  1.63977459538e-001  1.62586200597e-002
  6.45000000000e-002  9.99999999999e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.21828843425e+000  7.00098962974e-001  5.74322735075e-001  2.38332866708e-001  1.63945464640e-001  1.62340037319e-002
  6.61000000000e-002  9.99999999999e-001  9.99999999988e-001  9.99999999988e-001  9.99999999988e-001  9.99999999988e-001  9.99999999988e-001  1.21807586147e+000  6.99903572641e-001  5.74194992251e-001  2.38218581503e-001  1.63912627152e-001  1.62087656047e-002
  6.77000000000e-002  9.99999999999e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.21785796222e+000  6.99703294214e-001  5.74064031471e-001  2.38101443912e-001  1.63878944186e-001  1.61829054291e-002
  6.94000000000e-002  9.99999999999e-001  1.00001609822e+000  1.00001609822e+000  1.00001609822e+000  1.00001609822e+000  1.00001609822e+000  1.21762165045e+000  6.99485969059e-001  5.73921955528e-001  2.37974247683e-001  1.63842423970e-001  1.61548061932e-002
  7.10000000000e-002  9.99999999999e-001  9.99978350641e-001  9.99978350641e-001  9.99978350641e-001  9.99978350641e-001  9.99978350641e-001  1.21739027160e+000  6.99273628505e-001  5.73782923738e-001  2.37850295834e-001  1.63806524368e-001  1.61275237479e-002
  7.26000000000e-002  9.99999999999e-001  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.21715807368e+000  6.99059975024e-001  5.73643252813e-001  2.37725169631e-001  1.63770621901e-001  1.60998730251e-002
  7.42000000000e-002  9.99999999999e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.21691779297e+000  6.98839244038e-001  5.73498777954e-001  2.37596161357e-001  1.63733350382e-001  1.60714464669e-002
  7.58000000000e-002  9.99999999999e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.21667279346e+000  6.98614104526e-001  5.73351425648e-001  2.37464524131e-001  1.63695340380e-001  1.60424331804e-002
  7.74000000000e-002  9.99999999999e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.21642241274e+000  6.98384030235e-001  5.73200814579e-001  2.37330010429e-001  1.63656465917e-001  1.60127962371e-002
  7.90000000000e-002  9.99999999999e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  9.99999999990e-001  1.21616664107e+000  6.98149012869e-001  5.73046937497e-001  2.37192615975e-001  1.63616723620e-001  1.59825353563e-002
  8.06000000000e-002  9.99999999999e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  1.21590546852e+000  6.97909043963e-001  5.72889787004e-001  2.37052336408e-001  1.63576110043e-001  1.59516502535e-002
  8.23000000000e-002  9.99999999999e-001  1.00000055510e+000  1.00000055510e+000  1.00000055510e+000  1.00000055510e+000  1.00000055510e+000  1.21562207987e+000  6.97648670711e-001  5.72719240263e-001  2.36900136691e-001  1.63532006344e-001  1.59181525815e-002
  8.39000000000e-002  9.99999999999e-001  9.99995003986e-001  9.99995003986e-001  9.99995003986e-001  9.99995003986e-001  9.99995003986e-001  1.21534937320e+000  6.97398173895e-001  5.72555106510e-001  2.36753757258e-001  1.63489516435e-001  1.58859587621e-002
  8.55000000000e-002  9.99999999999e-001  1.00001609822e+000  1.00001609822e+000  1.00001609822e+000  1.00001609822e+000  1.00001609822e+000  1.21507297458e+000  6.97144080542e-001  5.72388673494e-001  2.36605127777e-001  1.63446471434e-001  1.58532374627e-002
  8.71000000000e-002  9.99999999999e-001  9.99978350636e-001  9.99978350636e-001  9.99978350636e-001  9.99978350636e-001  9.99978350636e-001  1.21478728912e+000  6.96881947616e-001  5.72216732273e-001  2.36452161524e-001  1.63401817993e-001  1.58196751520e-002
  8.87000000000e-002  9.99999999999e-001  1.00000999199e+000  1.00000999199e+000  1.00000999199e+000  1.00000999199e+000  1.00000999199e+000  1.21450068197e+000  6.96618416760e-001  5.72044076067e-001  2.36297976769e-001  1.63357126779e-001  1.57857413352e-002
  9.03000000000e-002  9.99999999999e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  1.21420589015e+000  6.96347720002e-001  5.71866539638e-001  2.36139864690e-001  1.63311030764e-001  1.57510289756e-002
  9.19000000000e-002  9.99999999999e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  1.21390627441e+000  6.96072525438e-001  5.71686047523e-001  2.35979077682e-001  1.63264159903e-001  1.57157268801e-002
  9.35000000000e-002  1.00000000000e+000  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  1.21360117060e+000  6.95792304981e-001  5.71502217039e-001  2.35815367358e-001  1.63216387519e-001  1.56797981351e-002
  9.52000000000e-002  1.00000000000e+000  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  1.21327097142e+000  6.95489052699e-001  5.71303229541e-001  2.35638216332e-001  1.63164637021e-001  1.56409368686e-002
  9.68000000000e-002  1.00000000000e+000  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  1.21295451132e+000  6.95198434655e-001  5.71112485998e-001  2.35468460430e-001  1.63114992358e-001  1.56037146589e-002
  9.84000000000e-002  1.00000000000e+000  9.99995559095e-001  9.99995559095e-001  9.99995559095e-001  9.99995559095e-001  9.99995559095e-001  1.21263223674e+000  6.94902529261e-001  5.70918210712e-001  2.35295657131e-001  1.63064379002e-001  1.55658485733e-002
  1.00000000000e-001  1.00000000000e+000  1.00001110222e+000  1.00001110222e+000  1.00001110222e+000  1.00001110222e+000  1.00001110222e+000  1.21230573027e+000  6.94602593230e-001  5.70721308869e-001  2.35120395992e-001  1.63013092617e-001  1.55274276617e-002
  1.01600000000e-001  1.00000000000e+000  9.99994448872e-001  9.99994448872e-001  9.99994448872e-001  9.99994448872e-001  9.99994448872e-001  1.21197157226e+000  6.94295908708e-001  5.70519817854e-001  2.34941400607e-001  1.62960488120e-001  1.54882606765e-002
  1.03200000000e-001  1.00000000000e+000  9.99988342647e-001  9.99988342647e-001  9.99988342647e-001  9.99988342647e-001  9.99988342647e-001  1.21163254105e+000  6.93984682495e-001  5.70315328305e-001  2.34759706565e-001  1.62907085987e-001  1.54485036859e-002
  1.04800000000e-001  1.00000000000e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.00000999200e+000  1.21128974715e+000  6.93669796597e-001  5.70108474728e-001  2.34575727436e-001  1.62853093084e-001  1.54082192673e-002
  1.06500000000e-001  1.00000000000e+000  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  9.99999999985e-001  1.21091725160e+000  6.93327917989e-001  5.69883718321e-001  2.34376195040e-001  1.62794294618e-001  1.53646069135e-002
  1.08100000000e-001  1.00000000000e+000  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  1.21056150486e+000  6.93001355042e-001  5.69669004995e-001  2.34185563179e-001  1.62738100040e-001  1.53229450931e-002
  1.09700000000e-001  1.00000000000e+000  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  9.99999999987e-001  1.21020014277e+000  6.92669657672e-001  5.69450858539e-001  2.33991952525e-001  1.62680959778e-001  1.52806533165e-002
