	X:TIME(s)	Y:Acc1_Relative-RevJoint1(rad/s^2)	Y:Acc1_Relative-RevJoint2(rad/s^2)	Y:Acc1_Relative-RevJoint3(rad/s^2)	Y:Acc1_Relative-RevJoint4(rad/s^2)	Y:Acc1_Relative-RevJoint5(rad/s^2)	Y:Driving_Torque-RevJoint6(N*m)
  0.0000000e+000 -1.3535164e+002  1.6487800e+002 -3.5952944e+001  7.7590481e+000 -1.4741735e+000 -2.0257754e-005
  1.6000000e-003 -1.3535136e+002  1.6487733e+002 -3.5952468e+001  7.7592869e+000 -1.4744348e+000 -2.0051577e-005
  3.2000000e-003 -1.3534916e+002  1.6487184e+002 -3.5948098e+001  7.7586042e+000 -1.4751025e+000 -1.9676634e-005
  4.8000000e-003 -1.3534092e+002  1.6485118e+002 -3.5931368e+001  7.7545369e+000 -1.4762226e+000 -1.8958471e-005
  6.5000000e-003 -1.3531786e+002  1.6479320e+002 -3.5884107e+001  7.7415419e+000 -1.4774349e+000 -1.7616331e-005
  8.1000000e-003 -1.3527252e+002  1.6467910e+002 -3.5790803e+001  7.7144044e+000 -1.4776583e+000 -1.5610001e-005
  9.7000000e-003 -1.3519162e+002  1.6447537e+002 -3.5623908e+001  7.6642902e+000 -1.4756076e+000 -1.2684869e-005
  1.1300000e-002 -1.3506009e+002  1.6414404e+002 -3.5352159e+001  7.5809617e+000 -1.4694713e+000 -8.6420824e-006
  1.2900000e-002 -1.3486037e+002  1.6364080e+002 -3.4939072e+001  7.4524116e+000 -1.4570073e+000 -3.2799934e-006
  1.4500000e-002 -1.3457252e+002  1.6291541e+002 -3.4343332e+001  7.2650094e+000 -1.4355716e+000  3.6032519e-006
  1.6100000e-002 -1.3417454e+002  1.6191242e+002 -3.3519377e+001  7.0037201e+000 -1.4021648e+000  1.2206252e-005
  1.7700000e-002 -1.3364272e+002  1.6057210e+002 -3.2418215e+001  6.6524138e+000 -1.3534981e+000  2.2719932e-005
  1.9400000e-002 -1.3290310e+002  1.5870817e+002 -3.0887067e+001  6.1617113e+000 -1.2811675e+000  3.6182867e-005
  2.1000000e-002 -1.3201583e+002  1.5647235e+002 -2.9051061e+001  5.5714963e+000 -1.1899292e+000  5.1177174e-005
  2.2600000e-002 -1.3091735e+002  1.5370476e+002 -2.6779634e+001  4.8400324e+000 -1.0726686e+000  6.8557576e-005
  2.4200000e-002 -1.2958351e+002  1.5034490e+002 -2.4024316e+001  3.9522160e+000 -9.2615399e-001  8.8419521e-005
  2.5800000e-002 -1.2799228e+002  1.4633788e+002 -2.0741782e+001  2.8950978e+000 -7.4760869e-001  1.1081624e-004
  2.7400000e-002 -1.2612488e+002  1.4163715e+002 -1.6896223e+001  1.6587786e+000 -5.3492445e-001  1.3575163e-004
  2.9000000e-002 -1.2396681e+002  1.3620725e+002 -1.2461704e+001  2.3729642e-001 -2.8687551e-001  1.6317432e-004
  3.0600000e-002 -1.2150883e+002  1.3002629e+002 -7.4243356e+000 -1.3705631e+000 -3.3178693e-003  1.9297363e-004
  3.2300000e-002 -1.1856523e+002  1.2262948e+002 -1.4118014e+000 -3.2783376e+000  3.3561082e-001  2.2704662e-004
  3.3900000e-002 -1.1548623e+002  1.1489918e+002  4.8522104e+000 -5.2508244e+000  6.8739382e-001  2.6113998e-004
  3.5500000e-002 -1.1211898e+002  1.0645377e+002  1.1671070e+001 -7.3782497e+000  1.0669501e+000  2.9690341e-004
  3.7100000e-002 -1.0848101e+002  9.7340464e+001  1.8998050e+001 -9.6384484e+000  1.4689406e+000  3.3400363e-004
  3.8700000e-002 -1.0459601e+002  8.7622431e+001  2.6772541e+001 -1.2004024e+001  1.8867690e+000  3.7207368e-004
  4.0300000e-002 -1.0049289e+002  7.7376410e+001  3.4922143e+001 -1.4443204e+001  2.3127747e+000  4.1072681e-004
  4.1900000e-002 -9.6204520e+001  6.6689576e+001  4.3365423e+001 -1.6920947e+001  2.7384881e+000  4.4957160e-004
  4.3500000e-002 -9.1766262e+001  5.5655870e+001  5.2015122e+001 -1.9400211e+001  3.1549272e+000  4.8822723e-004
  4.5200000e-002 -8.6927025e+001  4.3660755e+001  6.1331274e+001 -2.1993901e+001  3.5769613e+000  5.2869400e-004
  4.6800000e-002 -8.2293747e+001  3.2216191e+001  7.0124435e+001 -2.4357825e+001  3.9453883e+000  5.6587685e-004
  4.8400000e-002 -7.7618577e+001  2.0714276e+001  7.8855321e+001 -2.6610824e+001  4.2770361e+000  6.0190792e-004
  5.0000000e-002 -7.2932053e+001  9.2385440e+000  8.7445622e+001 -2.8720239e+001  4.5638180e+000  6.3657094e-004
  5.1600000e-002 -6.8260723e+001 -2.1370722e+000  9.5825162e+001 -3.0656665e+001  4.7983917e+000  6.6970535e-004
  5.3200000e-002 -6.3626597e+001 -1.3349571e+001  1.0393295e+002 -3.2394273e+001  4.9742400e+000  7.0120593e-004
  5.4800000e-002 -5.9046918e+001 -2.4347455e+001  1.1171756e+002 -3.3910871e+001  5.0856879e+000  7.3101985e-004
  5.6500000e-002 -5.4254566e+001 -3.5752895e+001  1.1958772e+002 -3.5259205e+001  5.1281022e+000  7.6084376e-004
  5.8100000e-002 -4.9821641e+001 -4.6193499e+001  1.2658263e+002 -3.6264291e+001  5.0921466e+000  7.8720771e-004
  5.9700000e-002 -4.5467733e+001 -5.6329398e+001  1.3315178e+002 -3.7000271e+001  4.9790280e+000  8.1199042e-004
  6.1300000e-002 -4.1193038e+001 -6.6149669e+001  1.3927613e+002 -3.7456297e+001  4.7857139e+000  8.3528999e-004
  6.2900000e-002 -3.6994848e+001 -7.5650090e+001  1.4494155e+002 -3.7622929e+001  4.5095089e+000  8.5722401e-004
  6.4500000e-002 -3.2868175e+001 -8.4831584e+001  1.5013739e+002 -3.7491554e+001  4.1479267e+000  8.7792323e-004
  6.6100000e-002 -2.8806354e+001 -9.3698701e+001  1.5485516e+002 -3.7053830e+001  3.6985736e+000  8.9752594e-004
  6.7700000e-002 -2.4801637e+001 -1.0225819e+002  1.5908729e+002 -3.6301204e+001  3.1590527e+000  9.1617330e-004
  6.9400000e-002 -2.0599906e+001 -1.1102416e+002  1.6304310e+002 -3.5146218e+001  2.4842470e+000  9.3509609e-004
  7.1000000e-002 -1.6686696e+001 -1.1897307e+002  1.6624782e+002 -3.3714060e+001  1.7508097e+000  9.5221145e-004
  7.2600000e-002 -1.2805488e+001 -1.2663591e+002  1.6893875e+002 -3.1935653e+001  9.1922908e-001  9.6878630e-004
  7.4200000e-002 -8.9491578e+000 -1.3401660e+002  1.7110249e+002 -2.9798306e+001 -1.3360830e-002  9.8494323e-004
  7.5800000e-002 -5.1117366e+000 -1.4111618e+002  1.7272270e+002 -2.7287983e+001 -1.0499049e+000  1.0007969e-003
  7.7400000e-002 -1.2887238e+000 -1.4793226e+002  1.7377986e+002 -2.4389381e+001 -2.1933493e+000  1.0164540e-003
  7.9000000e-002  2.5226369e+000 -1.5445859e+002  1.7425119e+002 -2.1086098e+001 -3.4465328e+000  1.0320139e-003
  8.0600000e-002  6.3231148e+000 -1.6068472e+002  1.7411071e+002 -1.7360920e+001 -4.8120453e+000  1.0475696e-003
  8.2300000e-002  1.0347559e+001 -1.6695431e+002  1.7325867e+002 -1.2920913e+001 -6.3883979e+000  1.0641917e-003
  8.3900000e-002  1.4118420e+001 -1.7250922e+002  1.7176213e+002 -8.2699431e+000 -7.9917404e+000  1.0800150e-003
  8.5500000e-002  1.7866369e+001 -1.7770417e+002  1.6955780e+002 -3.1439306e+000 -9.7118342e+000  1.0960990e-003
